0.67,3,0.63,0,0,7.02
0.67,3,0.65,0,0,7.03
0.58,3,0.63,0.02,0,7.04
0.67,3,0.6,0.07,0,7.05
0.58,3,0.57,0.14,0,7.06
0.63,3,0.54,0.21,0,7.07
0.67,3,0.47,0.29,0,7.08
0.58,3,0.43,0.37,0.01,7.09
0.67,3,0.39,0.46,0.01,7.1
0.67,3,0.34,0.54,0.01,7.11
0.58,3,0.32,0.63,0.01,7.12
0.58,3,0.27,0.72,0.01,7.13
0.67,3,0.23,0.8,0.01,7.14
0.67,3,0.19,0.89,0.01,7.15
0.67,3,0.15,0.98,0.01,7.16
0.67,3,0.1,1.07,0.01,7.17
0.67,3,0.07,1.16,0.02,7.18
0.67,3,0.02,1.25,0.02,7.19
0.58,3,0.01,1.34,0.02,7.2
0.63,3,0.05,1.43,0.02,7.21
0.58,3,0.08,1.52,0.02,7.22
0.63,3,0.12,1.61,0.02,7.23
0.67,3,0.18,1.7,0.02,7.24
0.67,3,0.19,1.79,0.02,7.25
0.63,3,0.23,1.88,0.02,7.26
0.67,3,0.27,1.96,0.03,7.27
0.63,3,0.31,2.05,0.03,7.28
0.63,3,0.35,2.14,0.03,7.29
0.67,3,0.39,2.23,0.03,7.3
0.72,3,0.41,2.32,0.03,7.31
0.58,3,0.45,2.41,0.03,7.32
0.63,3,0.48,2.5,0.03,7.33
0.67,3,0.53,2.59,0.03,7.34
0.72,3,0.57,2.68,0.03,7.35
0.67,3,0.6,2.77,0.04,7.36
0.67,3,0.63,2.86,0.04,7.37
0.72,3,0.66,2.95,0.04,7.38
0.67,3,0.69,3.04,0.04,7.39
0.72,3,0.74,3.12,0.04,7.4
0.67,3,0.76,3.21,0.04,7.41
0.67,3,0.79,3.3,0.04,7.42
0.72,3,0.84,3.39,0.04,7.43
0.67,3,0.87,3.48,0.04,7.44
0.72,3,0.9,3.57,0.05,7.45
0.67,3,0.94,3.66,0.05,7.46
0.67,3,0.96,3.74,0.05,7.47
0.67,3,1.01,3.83,0.05,7.48
0.77,3,1.03,3.92,0.05,7.49
0.72,3,1.06,4.01,0.05,7.5
0.72,3,1.1,4.09,0.05,7.51
0.77,3,1.13,4.18,0.05,7.52
0.77,3,1.16,4.27,0.05,7.53
0.77,3,1.19,4.36,0.05,7.54
0.77,3,1.23,4.44,0.06,7.55
0.77,3,1.25,4.53,0.06,7.56
0.77,3,1.27,4.62,0.06,7.57
0.77,3,1.29,4.7,0.06,7.58
0.82,3,1.32,4.79,0.06,7.59
0.82,3,1.35,4.88,0.06,7.6
0.82,3,1.37,4.96,0.06,7.61
0.82,3,1.39,5.05,0.06,7.62
0.82,3,1.42,5.13,0.06,7.63
0.86,3,1.45,5.22,0.06,7.64
0.86,3,1.47,5.3,0.07,7.65
0.86,3,1.51,5.39,0.07,7.66
0.82,3,1.53,5.47,0.07,7.67
0.91,3,1.53,5.56,0.07,7.68
0.91,3,1.56,5.64,0.07,7.69
0.86,3,1.57,5.72,0.07,7.7
0.86,3,1.61,5.81,0.07,7.71
0.91,3,1.64,5.89,0.07,7.72
0.91,3,1.66,5.97,0.07,7.73
0.86,3,1.67,6.06,0.07,7.74
0.96,3,1.7,6.14,0.08,7.75
0.96,3,1.71,6.22,0.08,7.76
0.96,3,1.73,6.3,0.08,7.77
1.06,3,1.72,6.38,0.08,7.78
0.96,3,1.75,6.47,0.08,7.79
1.01,3,1.76,6.55,0.08,7.8
1.06,3,1.78,6.63,0.08,7.81
1.06,3,1.78,6.71,0.08,7.82
1.11,3,1.81,6.79,0.08,7.83
1.16,3,1.82,6.87,0.08,7.84
1.11,3,1.84,6.95,0.08,7.85
1.11,3,1.85,7.03,0.08,7.86
1.16,3,1.87,7.1,0.09,7.87
1.16,3,1.87,7.18,0.09,7.88
1.21,3,1.88,7.26,0.09,7.89
1.21,3,1.9,7.34,0.09,7.9
1.16,3,1.92,7.42,0.09,7.91
1.16,3,1.93,7.49,0.09,7.92
1.21,3,1.94,7.57,0.09,7.93
1.21,3,1.96,7.64,0.09,7.94
1.26,3,1.96,7.72,0.09,7.95
1.26,3,1.97,7.8,0.09,7.96
1.21,3,1.98,7.87,0.09,7.97
1.31,3,1.99,7.95,0.09,7.98
1.36,3,1.98,8.02,0.09,7.99
1.31,3,2,8.09,0.09,8
1.36,3,2.01,8.17,0.1,8.01
1.36,3,2.03,8.24,0.1,8.02
1.41,3,2.04,8.31,0.1,8.03
1.36,3,2.01,8.39,0.1,8.04
1.46,3,2.01,8.46,0.1,8.05
1.51,3,2.02,8.53,0.1,8.06
