0.72,30,0.4,0,0.01,7.02
0.67,30,0.03,0,0.02,7.03
0.63,30,0.35,0,0.03,7.04
0.63,30,0.74,0,0.04,7.05
0.67,30,1.12,0,0.05,7.06
0.63,30,1.52,0,0.06,7.07
0.72,30,1.89,0,0.08,7.08
0.67,30,2.28,0,0.09,7.09
0.72,30,2.64,0,0.1,7.1
0.72,30,3.01,0,0.11,7.11
0.72,30,3.39,0,0.12,7.12
0.77,30,3.74,0,0.13,7.13
0.82,30,4.08,0,0.14,7.14
0.82,30,4.42,0,0.15,7.15
0.86,30,4.77,0,0.17,7.16
0.96,30,5.09,0,0.18,7.17
1.01,30,5.41,0,0.19,7.18
1.11,30,5.68,0,0.2,7.19
1.16,30,5.97,0,0.21,7.2
1.26,30,6.25,0,0.22,7.21
1.41,30,6.5,0,0.23,7.22
1.46,30,6.74,0,0.24,7.23
1.62,30,6.99,0,0.25,7.24
1.77,30,7.19,0,0.26,7.25
1.93,30,7.38,0,0.27,7.26
2.14,30,7.54,0,0.28,7.27
2.36,30,7.74,0,0.29,7.28
2.47,30,7.86,0,0.3,7.29
2.63,30,8,0,0.31,7.3
2.96,30,8.07,0,0.32,7.31
3.13,30,8.18,0,0.33,7.32
3.36,30,8.24,0,0.34,7.33
3.7,30,8.35,0,0.35,7.34
3.99,30,8.37,0,0.36,7.35
4.22,30,8.39,0,0.36,7.36
4.39,30,8.41,0,0.37,7.37
4.81,30,8.38,0,0.38,7.38
5.04,30,8.41,0,0.39,7.39
5.28,30,8.38,0,0.4,7.4
5.65,30,8.33,0,0.41,7.41
6.01,30,8.31,0,0.41,7.42
6.32,30,8.24,0,0.42,7.43
6.63,30,8.19,0,0.43,7.44
6.94,30,8.11,0,0.44,7.45
7.26,30,8.01,0,0.44,7.46
7.58,30,7.96,0,0.45,7.47
7.96,30,7.86,0,0.46,7.48
8.28,30,7.74,0,0.46,7.49
8.54,30,7.69,0,0.47,7.5
8.93,30,7.54,0,0.48,7.51
9.26,30,7.43,0,0.48,7.52
9.52,30,7.37,0,0.49,7.53
9.92,30,7.21,0,0.5,7.54
10.18,30,7.15,0,0.5,7.55
10.45,30,7.01,0,0.51,7.56
10.72,30,6.88,0,0.51,7.57
11.06,30,6.79,0,0.52,7.58
11.4,30,6.68,0,0.53,7.59
11.74,30,6.59,0,0.53,7.6
12.02,30,6.42,0,0.54,7.61
12.29,30,6.33,0,0.54,7.62
12.57,30,6.22,0,0.55,7.63
12.85,30,6.11,0,0.55,7.64
13.13,30,5.98,0,0.56,7.65
13.48,30,5.89,0,0.56,7.66
13.69,30,5.78,0,0.57,7.67
14.04,30,5.66,0,0.57,7.68
14.19,30,5.56,0,0.58,7.69
14.4,30,5.46,0,0.58,7.7
14.83,30,5.33,0,0.59,7.71
14.9,30,5.25,0,0.59,7.72
15.26,30,5.15,0,0.59,7.73
15.41,30,5.07,0,0.6,7.74
15.7,30,4.97,0,0.6,7.75
15.99,30,4.88,0,0.61,7.76
16.21,30,4.8,0,0.61,7.77
16.43,30,4.68,0,0.62,7.78
16.57,30,4.6,0,0.62,7.79
16.94,30,4.55,0,0.62,7.8
17.09,30,4.41,0,0.63,7.81
17.31,30,4.36,0,0.63,7.82
17.46,30,4.29,0,0.63,7.83
17.68,30,4.2,0,0.64,7.84
17.91,30,4.11,0,0.64,7.85
17.98,30,4.05,0,0.65,7.86
18.28,30,3.98,0,0.65,7.87
18.51,30,3.9,0,0.65,7.88
18.66,30,3.83,0,0.66,7.89
18.74,30,3.74,0,0.66,7.9
18.96,30,3.69,0,0.66,7.91
19.27,30,3.64,0,0.67,7.92
19.42,30,3.54,0,0.67,7.93
19.49,30,3.47,0,0.67,7.94
19.57,30,3.45,0,0.67,7.95
19.72,30,3.4,0,0.68,7.96
19.95,30,3.28,0,0.68,7.97
20.11,30,3.23,0,0.68,7.98
20.34,30,3.16,0,0.69,7.99
20.49,30,3.15,0,0.69,8
20.65,30,3.03,0,0.69,8.01
20.72,30,3.01,0,0.69,8.02
20.8,30,2.96,0,0.7,8.03
20.96,30,2.93,0,0.7,8.04
21.19,30,2.87,0,0.7,8.05
21.27,30,2.8,0,0.7,8.06
21.5,30,2.75,0,0.71,8.07
21.58,30,2.75,0,0.71,8.08
21.58,30,2.68,0,0.71,8.09
21.81,30,2.59,0,0.71,8.1
21.89,30,2.59,0,0.72,8.11
22.05,30,2.54,0,0.72,8.12
22.21,30,2.5,0,0.72,8.13
22.21,30,2.48,0,0.72,8.14
22.44,30,2.39,0,0.73,8.15
22.44,30,2.34,0,0.73,8.16
22.52,30,2.32,0,0.73,8.17
22.76,30,2.33,0,0.73,8.18
