0.49,3,0
0.58,3,0.01
0.63,3,0.02
0.58,3,0.03
0.58,3,0.04
0.58,3,0.05
0.63,3,0.06
0.53,3,0.07
0.58,3,0.08
0.58,3,0.09
0.58,3,0.1
0.53,3,0.11
0.58,3,0.12
0.53,3,0.13
0.58,3,0.14
0.63,3,0.15
0.53,3,0.16
0.58,3,0.17
0.58,3,0.18
0.58,3,0.19
0.67,3,0.2
0.58,3,0.21
0.63,3,0.22
0.67,3,0.23
0.58,3,0.24
0.58,3,0.25
0.63,3,0.26
0.58,3,0.27
0.58,3,0.28
0.67,3,0.29
0.53,3,0.3
0.58,3,0.31
0.58,3,0.32
0.58,3,0.33
0.63,3,0.34
0.58,3,0.35
0.53,3,0.36
0.58,3,0.37
0.67,3,0.38
0.67,3,0.39
0.58,3,0.4
0.58,3,0.41
0.58,3,0.42
0.58,3,0.43
0.53,3,0.44
0.58,3,0.45
0.58,3,0.46
0.63,3,0.47
0.63,3,0.48
0.58,3,0.49
0.53,3,0.5
0.58,3,0.51
0.63,3,0.52
0.58,3,0.53
0.67,3,0.54
0.67,3,0.55
0.53,3,0.56
0.58,3,0.57
0.63,3,0.58
0.67,3,0.59
0.58,3,0.6
0.58,3,0.61
0.67,3,0.62
0.58,3,0.63
0.63,3,0.64
0.63,3,0.65
0.58,3,0.66
0.67,3,0.67
0.67,3,0.68
0.58,3,0.69
0.53,3,0.7
0.53,3,0.71
0.53,3,0.72
0.58,3,0.73
0.58,3,0.74
0.63,3,0.75
0.58,3,0.76
0.63,3,0.77
0.58,3,0.78
0.58,3,0.79
0.58,3,0.8
0.58,3,0.81
0.63,3,0.82
0.67,3,0.83
0.58,3,0.84
0.58,3,0.85
0.63,3,0.86
0.67,3,0.87
0.63,3,0.88
0.63,3,0.89
0.58,3,0.9
0.58,3,0.91
0.63,3,0.92
0.63,3,0.93
0.67,3,0.94
0.58,3,0.95
0.58,3,0.96
0.63,3,0.97
0.53,3,0.98
0.63,3,0.99
0.58,3,1
0.58,3,1.01
0.58,3,1.02
0.58,3,1.03
0.58,3,1.04
0.58,3,1.05
0.58,3,1.06
0.63,3,1.07
0.67,3,1.08
0.58,3,1.09
0.67,3,1.1
0.58,3,1.11
0.63,3,1.12
0.58,3,1.13
0.58,3,1.14
0.63,3,1.15
0.67,3,1.16
0.58,3,1.17
0.58,3,1.18
0.63,3,1.19
0.63,3,1.2
0.63,3,1.21
0.63,3,1.22
0.58,3,1.23
0.58,3,1.24
0.58,3,1.25
0.58,3,1.26
0.58,3,1.27
0.63,3,1.28
0.58,3,1.29
0.63,3,1.3
0.58,3,1.31
0.58,3,1.32
0.58,3,1.33
0.58,3,1.34
0.63,3,1.35
0.58,3,1.36
0.58,3,1.37
0.58,3,1.38
0.58,3,1.39
0.63,3,1.4
0.53,3,1.41
0.67,3,1.42
0.58,3,1.43
0.67,3,1.44
0.58,3,1.45
0.63,3,1.46
0.58,3,1.47
0.58,3,1.48
0.58,3,1.49
0.77,3,1.5
0.96,3,1.51
1.41,3,1.52
1.98,3,1.53
2.74,3,1.54
3.64,3,1.55
4.63,3,1.56
