0.67,3,0.63,0,2,7.05
0.58,3,0.62,0,2,7.06
0.63,3,0.6,0,1,7.07
0.63,3,0.58,0,0,7.08
0.67,3,0.55,0,0,7.09
0.67,3,0.56,0.01,0,7.1
0.67,3,0.54,0.01,1,7.11
0.58,3,0.51,0.01,2,7.12
0.67,3,0.47,0.01,0,7.13
0.63,3,0.49,0.01,0,7.14
0.67,3,0.44,0.01,0,7.15
0.67,3,0.45,0.01,2,7.16
0.67,3,0.42,0.01,2,7.17
0.67,3,0.41,0.01,1,7.18
0.58,3,0.39,0.01,0,7.19
0.67,3,0.39,0.01,1,7.2
0.72,3,0.34,0.02,0,7.21
0.72,3,0.35,0.02,1,7.22
0.58,3,0.33,0.02,1,7.23
0.72,3,0.3,0.02,2,7.24
0.67,3,0.29,0.02,0,7.25
0.67,3,0.27,0.02,2,7.26
0.63,3,0.26,0.02,0,7.27
0.67,3,0.24,0.02,2,7.28
0.67,3,0.22,0.02,2,7.29
0.63,3,0.21,0.02,2,7.3
0.67,3,0.19,0.02,2,7.31
0.72,3,0.17,0.02,0,7.32
0.72,3,0.15,0.03,0,7.33
0.72,3,0.14,0.03,1,7.34
0.67,3,0.11,0.03,1,7.35
0.67,3,0.1,0.03,2,7.36
0.72,3,0.08,0.03,0,7.37
0.72,3,0.06,0.03,0,7.38
0.72,3,0.05,0.03,0,7.39
0.72,3,0.03,0.03,1,7.4
0.77,3,0.05,0.03,1,7.41
0.72,3,0.01,0.03,0,7.42
0.72,3,0,0.03,0,7.43
0.72,3,0,0.04,2,7.44
0.72,3,0,0.04,0,7.45
0.72,3,0,0.04,0,7.46
0.72,3,0,0.04,1,7.47
0.77,3,0,0.04,1,7.48
0.72,3,0,0.04,2,7.49
0.77,3,0,0.04,2,7.5
0.82,3,0,0.04,1,7.51
0.77,3,0,0.04,1,7.52
0.77,3,0,0.04,0,7.53
0.82,3,0,0.04,0,7.54
0.86,3,0,0.04,2,7.55
0.82,3,0,0.04,1,7.56
0.82,3,0,0.05,1,7.57
0.86,3,0,0.05,0,7.58
0.86,3,0,0.05,2,7.59
0.82,3,0,0.05,1,7.6
0.86,3,0,0.05,1,7.61
0.86,3,0,0.05,0,7.62
0.91,3,0,0.05,0,7.63
0.86,3,0,0.05,2,7.64
0.91,3,0,0.05,1,7.65
0.91,3,0,0.05,1,7.66
0.91,3,0,0.05,0,7.67
1.21,3,0,0.05,0,7.68
0.96,3,0,0.05,0,7.69
0.91,3,0,0.06,0,7.7
1.06,3,0,0.06,1,7.71
0.96,3,0,0.06,1,7.72
1.06,3,0,0.06,1,7.73
1.01,3,0,0.06,1,7.74
1.06,3,0,0.06,0,7.75
1.11,3,0,0.06,0,7.76
1.06,3,0,0.06,2,7.77
1.11,3,0,0.06,1,7.78
1.06,3,0,0.06,1,7.79
1.16,3,0,0.06,0,7.8
1.06,3,0,0.06,0,7.81
1.16,3,0,0.06,0,7.82
1.16,3,0,0.06,2,7.83
1.21,3,0,0.06,2,7.84
1.16,3,0,0.07,0,7.85
1.16,3,0,0.07,0,7.86
1.21,3,0,0.07,0,7.87
1.26,3,0,0.07,2,7.88
1.26,3,0,0.07,2,7.89
1.21,3,0,0.07,0,7.9
1.26,3,0,0.07,0,7.91
1.31,3,0,0.07,0,7.92
1.31,3,0,0.07,0,7.93
1.36,3,0,0.07,0,7.94
1.26,3,0,0.07,0,7.95
1.36,3,0,0.07,1,7.96
1.36,3,0,0.07,1,7.97
1.31,3,0,0.07,1,7.98
1.26,3,0,0.07,1,7.99
1.46,3,0,0.07,1,8
1.46,3,0,0.07,1,8.01
1.46,3,0,0.08,0,8.02
1.46,3,0,0.08,2,8.03
1.46,3,0,0.08,1,8.04
1.46,3,0,0.08,0,8.05
1.51,3,0,0.08,0,8.06
1.51,3,0,0.08,1,8.07
1.51,3,0,0.08,2,8.08
1.56,3,0,0.08,2,8.09
1.62,3,0,0.08,0,8.1
1.56,3,0,0.08,0,8.11
1.62,3,0,0.08,0,8.12
1.62,3,0,0.08,2,8.13
1.62,3,0,0.08,2,8.14
1.62,3,0,0.08,0,8.15
1.62,3,0,0.08,2,8.16
1.67,3,0,0.08,2,8.17
1.67,3,0,0.08,1,8.18
1.72,3,0,0.08,1,8.19
1.72,3,0,0.08,0,8.2
1.72,3,0,0.08,1,8.21
1.72,3,0,0.08,1,8.22
1.72,3,0,0.09,1,8.23
1.72,3,0,0.09,0,8.24
1.77,3,0,0.09,1,8.25
1.77,3,0,0.09,0,8.26
